fname,event
dataset\AknesDataFiles\DataSamples\Noise\2010_027_54_114717.dat,Noise
dataset\AknesDataFiles\DataSamples\Noise\2011_090_54_143987.dat,Noise
dataset\AknesDataFiles\DataSamples\Noise\2012_179_36_213370.dat,Noise
dataset\AknesDataFiles\DataSamples\Noise\2016_075_36_331229.dat,Noise
dataset\AknesDataFiles\DataSamples\Noise\2016_075_36_331242.dat,Noise
dataset\AknesDataFiles\DataSamples\Noise\2016_075_36_331390.dat,Noise
dataset\AknesDataFiles\DataSamples\Noise\2016_076_36_331745.dat,Noise
dataset\AknesDataFiles\DataSamples\Noise\2017_289_45_385699.dat,Noise
dataset\AknesDataFiles\DataSamples\Regional\2007_034_45_117472.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2007_081_63_122151.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2007_082_63_122258.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2007_085_54_123071.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2007_315_45_173860.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2008_008_45_178266.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2008_041_45_181803.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2008_057_36_184052.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2008_069_72_185602.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_031_63_115114.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_053_45_117437.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_054_54_117578.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_055_63_117621.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_060_63_118163.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_067_54_118466.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_070_54_118682.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_074_45_119211.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_084_36_120570.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_088_36_120916.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_127_63_125190.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_160_63_129339.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_166_36_129746.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_210_36_133452.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_213_72_133606.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_220_72_134200.dat,Regional
dataset\AknesDataFiles\DataSamples\Regional\2010_250_36_137609.dat,Regional
